time	se1	tm1	se2	tm2	se3	tm3	se4	tm4	se5	tm5	tmp
17:4:6	0.0	0.0	0.95	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.95	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.95	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.95	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.95	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.94	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.94	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.94	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.94	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.94	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.94	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.95	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:4:6	0.0	0.0	0.95	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0
